0.039270  -0.006981 -1.031586 124.272419 0.263108 
0.117810  0.006981 0.700101 124.224321 0.792633 
0.117810  0.034907 4.163454 124.137856 0.792566 
0.039270  0.048869 5.897348 124.099946 0.262957 
0.039270  0.076794 9.355659 123.868330 0.262888 
0.117810  0.090757 11.077078 123.674891 0.792432 
0.117810  0.118682 14.522081 123.298731 0.792365 
0.039270  0.132645 16.247428 123.115739 0.262749 
0.039270  0.160570 19.675387 122.595344 0.262680 
0.117810  0.174533 21.375151 122.258442 0.792232 
0.117810  0.202458 24.777749 121.595123 0.792165 
0.039270  0.216421 26.482327 121.268289 0.262542 
0.039270  0.244346 29.855875 120.462667 0.262473 
0.117810  0.258309 31.522044 119.984618 0.792031 
0.117810  0.286234 34.855849 119.040662 0.792045 
0.039270  0.300197 36.526203 118.573382 0.262461 
0.039270  0.328122 39.818749 117.490356 0.262485 
0.117810  0.342085 41.438301 116.875537 0.792098 
0.117810  0.370010 44.682048 115.655796 0.792125 
0.039270  0.383972 46.307695 115.050263 0.262531 
0.039270  0.411898 49.499141 113.695032 0.262554 
0.117810  0.425860 51.062041 112.946632 0.792177 
0.117810  0.453786 54.193416 111.459248 0.792204 
0.039270  0.467748 55.763063 110.719628 0.262601 
0.039270  0.495674 58.830871 109.101653 0.262624 
0.117810  0.509636 60.326249 108.224842 0.792257 
0.117810  0.537561 63.323136 106.483004 0.792316 
0.039270  0.551524 64.825957 105.617152 0.262744 
0.039270  0.579449 67.748663 103.753275 0.262840 
0.117810  0.593412 69.166256 102.756747 0.792501 
0.117810  0.621337 72.007714 100.772557 0.792594 
0.039270  0.635300 73.432900 99.783926 0.263033 
0.039270  0.663225 76.189888 97.681611 0.263130 
0.117810  0.677188 77.519535 96.569624 0.792779 
0.117810  0.705113 80.185494 94.354223 0.792871 
0.039270  0.719076 81.523037 93.249722 0.263323 
0.039270  0.747001 84.094937 90.923673 0.263420 
0.117810  0.760964 85.327291 89.704007 0.793056 
0.117810  0.788889 87.799534 87.273584 0.793162 
0.039270  0.802851 89.042017 86.063825 0.263677 
0.039270  0.830777 91.414965 83.535809 0.263876 
0.117810  0.844739 92.543309 82.219797 0.793561 
0.117810  0.872665 94.807628 79.595426 0.793760 
0.039270  0.886627 95.944415 78.286134 0.264274 
0.039270  0.914553 98.097546 75.568378 0.264473 
0.117810  0.928515 99.111976 74.162335 0.794158 
0.117810  0.956440 101.148730 71.357757 0.794357 
0.039270  0.970403 102.171918 69.958012 0.264870 
0.039270  0.998328 104.090059 67.069679 0.265069 
0.117810  1.012291 104.983524 65.583361 0.794755 
0.117810  1.040216 106.778504 62.618149 0.794955 
0.039270  1.054179 107.682499 61.138606 0.265461 
0.039270  1.082104 109.358930 58.102825 0.265637 
0.117810  1.096067 110.128348 56.548216 0.795302 
0.117810  1.123992 111.675582 53.446121 0.795471 
0.039270  1.137955 112.454163 51.897199 0.265988 
0.039270  1.165880 113.870505 48.732308 0.266163 
0.117810  1.179843 114.507122 47.118817 0.795811 
0.117810  1.207768 115.789179 43.898658 0.795981 
0.039270  1.221730 116.435205 42.290609 0.266515 
0.039270  1.249656 117.581611 39.018710 0.266690 
0.117810  1.263618 118.080946 37.357776 0.796321 
0.117810  1.291544 119.088914 34.042038 0.796491 
0.039270  1.305506 119.597926 32.386044 0.267041 
0.039270  1.333432 120.471709 29.029415 0.267238 
0.117810  1.347394 120.833339 27.332157 0.796866 
0.117810  1.375319 121.566208 23.943462 0.797062 
0.039270  1.389282 121.937843 22.250511 0.267638 
0.039270  1.417207 122.528338 18.833518 0.267839 
0.117810  1.431170 122.746659 17.112214 0.797454 
0.117810  1.459095 123.193320 13.675111 0.797650 
0.039270  1.473058 123.421940 11.957651 0.268239 
0.039270  1.500983 123.724354 8.504265 0.268439 
0.117810  1.514946 123.797850 6.771107 0.798042 
0.117810  1.542871 123.955256 3.309715 0.798238 
0.039270  1.556834 124.039299 1.579807 0.268839 
0.039270  1.584759 124.052721 -1.887478 0.268999 
0.117810  1.598722 123.982030 -3.622024 0.798550 
0.117810  1.626647 123.851398 -7.086843 0.798667 
0.039270  1.640609 123.791476 -8.818768 0.269238 
0.039270  1.668535 123.515899 -12.275757 0.269358 
0.117810  1.682497 123.300430 -13.997576 0.798900 
0.117810  1.710423 122.880529 -17.438228 0.799016 
0.039270  1.724385 122.676007 -19.158457 0.269597 
0.039270  1.752311 122.112339 -22.579051 0.269716 
0.117810  1.766273 121.753650 -24.276206 0.799249 
0.117810  1.794198 121.047558 -27.668327 0.799366 
0.039270  1.808161 120.699895 -29.364912 0.269955 
0.039270  1.836086 119.851920 -32.725391 0.270056 
0.117810  1.850049 119.351339 -34.387599 0.799506 
0.117810  1.877974 118.361680 -37.710511 0.799474 
0.039270  1.891937 117.872129 -39.373018 0.269996 
0.039270  1.919862 116.744045 -42.652221 0.269966 
0.117810  1.933825 116.106417 -44.266097 0.799410 
0.117810  1.961750 114.842631 -47.493549 0.799378 
0.039270  1.975713 114.215860 -49.108877 0.269906 
0.039270  2.003638 112.817796 -52.281187 0.269876 
0.117810  2.017601 112.047633 -53.835438 0.799314 
0.117810  2.045526 110.518670 -56.944825 0.799282 
0.039270  2.059489 109.759122 -58.501654 0.269815 
0.039270  2.087414 108.100970 -61.544855 0.269785 
0.117810  2.101376 107.202376 -63.028461 0.799191 
0.117810  2.129302 105.413387 -65.997970 0.799055 
0.039270  2.143264 104.523629 -67.485245 0.269533 
0.039270  2.171190 102.611400 -70.378006 0.269393 
0.117810  2.185152 101.590771 -71.780643 0.798782 
0.117810  2.213077 99.560073 -74.589413 0.798646 
0.039270  2.227040 98.548987 -75.997019 0.269113 
0.039270  2.254965 96.401913 -78.719002 0.268973 
0.117810  2.268928 95.267758 -80.030983 0.798373 
0.117810  2.296853 93.009575 -82.659450 0.798237 
0.039270  2.310816 91.884343 -83.977421 0.268693 
0.039270  2.338741 89.517461 -86.509670 0.268553 
0.117810  2.352704 88.277825 -87.721710 0.797964 
0.117810  2.380629 85.803115 -90.147932 0.797696 
0.039270  2.394592 84.568784 -91.364991 0.268072 
0.039270  2.422517 81.993068 -93.685716 0.267785 
0.117810  2.436480 80.653950 -94.787349 0.797123 
0.117810  2.464405 77.984306 -96.997350 0.796836 
0.039270  2.478368 76.652286 -98.106957 0.267212 
0.039270  2.506293 73.891482 -100.203948 0.266926 
0.117810  2.520255 72.465217 -101.189413 0.796263 
0.117810  2.548181 69.619974 -103.168275 0.795977 
0.039270  2.562143 68.199717 -104.162581 0.266353 
0.039270  2.590069 65.273090 -106.021203 0.266066 
0.117810  2.604031 63.769592 -106.883670 0.795404 
0.117810  2.631957 60.767289 -108.614179 0.795132 
0.039270  2.645919 59.267132 -109.482990 0.265518 
0.039270  2.673844 56.192378 -111.083520 0.265256 
0.117810  2.687807 54.620592 -111.813818 0.794621 
0.117810  2.715732 51.482398 -113.283766 0.794365 
0.039270  2.729695 49.914232 -114.024200 0.264731 
0.039270  2.757620 46.715845 -115.361995 0.264469 
0.117810  2.771583 45.088428 -115.958214 0.793853 
0.117810  2.799508 41.837749 -117.160571 0.793597 
0.039270  2.813471 40.212671 -117.767354 0.263945 
0.039270  2.841396 36.913069 -118.832991 0.263683 
0.117810  2.855359 35.241433 -119.290927 0.793085 
0.117810  2.883284 31.901154 -120.216474 0.792823 
0.039270  2.897247 30.230967 -120.682330 0.263129 
0.039270  2.925172 26.854103 -121.462297 0.262821 
0.117810  2.939134 25.150450 -121.775780 0.792213 
0.117810  2.967060 21.744464 -122.413537 0.791908 
0.039270  2.981022 20.040656 -122.738020 0.262203 
0.039270  3.008948 16.609260 -123.232779 0.261894 
0.117810  3.022910 14.884987 -123.402637 0.791298 
0.117810  3.050836 11.436596 -123.753225 0.790993 
0.039270  3.064798 9.710984 -123.934048 0.261276 
0.039270  3.092723 6.249359 -124.140012 0.260967 
0.117810  3.106686 4.516441 -124.165015 0.790383 
0.117810  3.134611 1.049947 -124.225893 0.790078 
0.039270  3.148574 -0.684672 -124.261198 0.260368 
0.039270  3.176499 -4.149058 -124.174650 0.260133 
0.117810  3.190462 -5.876767 -124.053488 0.789593 
0.117810  3.218387 -9.333912 -123.821966 0.789359 
0.039270  3.232350 -11.065118 -123.711410 0.259662 
0.039270  3.260275 -14.511272 -123.335065 0.259427 
0.117810  3.274238 -16.223359 -123.069660 0.788892 
0.117810  3.302163 -19.650163 -122.549454 0.788658 
0.039270  3.316126 -21.366634 -122.294312 0.258956 
0.039270  3.344051 -24.770369 -121.630712 0.258721 
0.117810  3.358013 -26.454687 -121.222904 0.788191 
0.117810  3.385939 -29.827220 -120.417540 0.787957 
0.039270  3.399901 -31.516799 -120.019582 0.258250 
0.039270  3.427827 -34.851819 -119.075300 0.258111 
0.117810  3.441789 -36.495283 -118.529024 0.787644 
0.117810  3.469715 -39.786911 -117.446389 0.787523 
0.039270  3.483677 -41.436310 -116.909560 0.257861 
0.039270  3.511602 -44.681121 -115.689447 0.257736 
0.117810  3.525565 -46.273818 -115.007244 0.787281 
0.117810  3.553490 -49.464148 -113.652581 0.787159 
0.039270  3.567453 -51.063317 -112.979397 0.257485 
0.039270  3.595378 -54.195605 -111.491603 0.257360 
0.117810  3.609341 -55.726219 -110.678254 0.786917 
0.117810  3.637266 -58.792958 -109.060945 0.786795 
0.039270  3.651229 -60.330554 -108.256125 0.257110 
0.039270  3.679154 -63.328469 -106.513820 0.257046 
0.117810  3.693117 -64.786415 -105.577770 0.786667 
0.117810  3.721042 -67.708346 -103.714669 0.786659 
0.039270  3.735005 -69.173691 -102.786712 0.257040 
0.039270  3.762930 -72.016173 -100.802056 0.257038 
0.117810  3.776893 -73.391085 -99.746953 0.786644 
0.117810  3.804818 -76.147354 -97.645495 0.786636 
0.039270  3.818780 -77.529889 -96.598190 0.257032 
0.039270  3.846706 -80.196910 -94.382168 0.257029 
0.117810  3.860668 -81.479030 -93.215476 0.786621 
0.117810  3.888594 -84.050365 -90.890277 0.786614 
0.039270  3.902556 -85.340484 -89.730877 0.257024 
0.039270  3.930481 -87.813637 -87.299842 0.257038 
0.117810  3.944444 -88.996215 -86.032312 0.786684 
0.117810  3.972369 -91.368519 -83.505310 0.786812 
0.039270  3.986332 -92.559358 -82.244670 0.257295 
0.039270  4.014257 -94.824490 -79.619714 0.257424 
0.117810  4.028220 -95.897004 -78.257451 0.787069 
0.117810  4.056145 -98.049573 -75.540780 0.787198 
