0.000000  0.000000 -0.239122 124.101688 -0.025546 
0.104720  0.010472 1.049661 124.050085 0.677185 
0.314159  0.010472 1.027052 123.756750 2.058745 
0.418879  0.000000 -0.278572 123.517720 2.722963 
0.628319  0.000000 -0.298355 122.806837 3.950418 
0.733038  0.010472 0.972693 122.341932 4.501127 
0.942478  0.010472 0.941586 121.281913 5.455477 
1.047198  0.000000 -0.338039 120.700453 5.846413 
1.256637  0.000000 -0.349340 119.411706 6.420963 
1.361357  0.010472 0.888060 118.713390 6.602486 
1.570796  0.010472 0.862288 117.310760 6.749548 
1.675516  0.000000 -0.365080 116.618346 6.713824 
1.884956  0.000000 -0.362656 115.233771 6.419440 
1.989675  0.010472 0.838095 114.556281 6.163819 
2.199115  0.010472 0.833756 113.333613 5.459767 
2.303835  0.000000 -0.345737 112.801266 5.018113 
2.513274  0.000000 -0.331243 111.859804 3.972642 
2.617994  0.010472 0.843369 111.462718 3.382467 
2.827433  0.010472 0.856860 110.887065 2.088943 
2.932153  0.000000 -0.294447 110.717697 1.403616 
3.141593  0.000000 -0.274748 110.569610 -0.004207 
3.246312  0.010472 0.891963 110.592757 -0.712305 
3.455752  0.010472 0.912863 110.887602 -2.098328 
3.560472  0.000000 -0.238895 111.156122 -2.760263 
3.769911  0.000000 -0.223428 111.864477 -3.986873 
3.874631  0.010472 0.958406 112.296673 -4.538815 
4.084070  0.010472 0.982406 113.349430 -5.486811 
4.188790  0.000000 -0.197408 113.958224 -5.871971 
4.398230  0.000000 -0.190933 115.251217 -6.447435 
4.502949  0.010472 1.025533 115.921715 -6.632229 
4.712389  0.010472 1.046741 117.329281 -6.780345 
4.817109  0.000000 -0.181566 118.050027 -6.741967 
5.026548  0.000000 -0.182259 119.432776 -6.448195 
5.131268  0.010472 1.074115 120.079293 -6.196117 
5.340708  0.010472 1.082638 121.302873 -5.490123 
5.445427  0.000000 -0.190826 121.866913 -5.043616 
5.654867  0.000000 -0.198700 122.811830 -3.994276 
5.759587  0.010472 1.086575 123.181882 -3.403556 
5.969026  0.010472 1.078098 123.756531 -2.114754 
6.073746  0.000000 -0.224528 123.954425 -1.429346 
0.000000  0.020944 2.358607 124.058297 -0.032556 
0.104720  0.031416 3.646381 123.979725 0.669906 
0.314159  0.031416 3.618006 123.687005 2.050928 
0.418879  0.020944 2.307689 123.475429 2.714878 
0.628319  0.020944 2.273033 122.763819 3.943229 
0.733038  0.031416 3.534069 122.271038 4.495103 
0.942478  0.031416 3.480438 121.209229 5.451785 
1.047198  0.020944 2.188535 120.653392 5.843887 
1.256637  0.020944 2.150692 119.366045 6.418241 
1.361357  0.031416 3.373617 118.642386 6.599666 
1.570796  0.031416 3.318909 117.241490 6.746531 
1.675516  0.020944 2.077023 116.574655 6.710714 
1.884956  0.020944 2.050248 115.189741 6.416145 
1.989675  0.031416 3.236646 114.486933 6.160430 
2.199115  0.031416 3.206715 113.265263 5.457352 
2.303835  0.020944 2.016256 112.758691 5.016764 
2.513274  0.020944 2.011267 111.818998 3.973426 
2.617994  0.031416 3.177586 111.398317 3.384318 
2.827433  0.031416 3.178664 110.822503 2.090341 
2.932153  0.020944 2.023717 110.677304 1.404787 
3.141593  0.020944 2.039952 110.528836 -0.003489 
3.246312  0.031416 3.206952 110.527700 -0.712000 
3.455752  0.031416 3.233795 110.822405 -2.098850 
3.560472  0.020944 2.087627 111.115197 -2.761199 
3.769911  0.020944 2.117783 111.823578 -3.988489 
3.874631  0.031416 3.308547 112.231219 -4.540696 
4.084070  0.031416 3.354524 113.283888 -5.489223 
4.188790  0.020944 2.187522 113.917611 -5.874649 
4.398230  0.020944 2.221063 115.210580 -6.450203 
4.502949  0.031416 3.451457 115.855621 -6.635042 
4.712389  0.031416 3.502124 117.262829 -6.783249 
4.817109  0.020944 2.289003 118.009073 -6.744917 
5.026548  0.020944 2.317227 119.391334 -6.451239 
5.131268  0.031416 3.587004 120.011266 -6.199207 
5.340708  0.031416 3.621132 121.234041 -5.493558 
5.445427  0.020944 2.359599 121.824402 -5.047348 
5.654867  0.020944 2.371518 122.768762 -3.998602 
5.759587  0.031416 3.664432 123.111524 -3.408179 
5.969026  0.031416 3.668186 123.685975 -2.120332 
6.073746  0.020944 2.369918 123.911012 -1.435401 
0.000000  0.041888 4.955195 123.960455 -0.039566 
0.104720  0.052360 6.241391 123.854945 0.662627 
0.314159  0.052360 6.207253 123.562968 2.043112 
0.418879  0.041888 4.892815 123.378943 2.706792 
0.628319  0.041888 4.843293 122.666916 3.936040 
0.733038  0.052360 6.093758 122.146470 4.489080 
0.942478  0.052360 6.017617 121.083332 5.448094 
1.047198  0.041888 4.713999 120.553363 5.841361 
1.256637  0.041888 4.649626 119.267984 6.415519 
1.361357  0.052360 5.857536 118.519294 6.596846 
1.570796  0.052360 5.773913 117.120749 6.743515 
1.675516  0.041888 4.518053 116.479789 6.707605 
1.884956  0.041888 4.462093 115.095144 6.412849 
1.989675  0.052360 5.633617 114.367322 6.157041 
2.199115  0.052360 5.578111 113.147185 5.454936 
2.303835  0.041888 4.377212 112.666616 5.015415 
2.513274  0.041888 4.352749 111.729108 3.974210 
2.617994  0.052360 5.510266 111.285015 3.386168 
2.827433  0.052360 5.498940 110.709292 2.091738 
2.932153  0.041888 4.340863 110.588328 1.405958 
3.141593  0.041888 4.353635 110.439544 -0.002771 
3.246312  0.052360 5.520415 110.414122 -0.711696 
3.455752  0.052360 5.553199 110.708557 -2.099373 
3.560472  0.041888 4.413129 111.025497 -2.762135 
3.769911  0.041888 4.457965 111.733594 -3.990104 
3.874631  0.052360 5.657139 112.116499 -4.542577 
4.084070  0.052360 5.725079 113.168618 -5.491635 
4.188790  0.041888 4.571405 113.826996 -5.877327 
4.398230  0.041888 4.631999 115.119375 -6.452971 
4.502949  0.052360 5.875783 115.738673 -6.637855 
4.712389  0.052360 5.955889 117.144907 -6.786152 
4.817109  0.041888 4.758487 117.916325 -6.747867 
5.026548  0.041888 4.815614 119.297491 -6.454283 
