0.039270  -0.006981 -0.900435 105.485931 0.150858 
0.117810  0.006981 0.569074 105.455447 0.456576 
0.117810  0.034907 3.508406 105.379958 0.456509 
0.039270  0.048869 4.979614 105.335429 0.150707 
0.039270  0.076794 7.914352 105.136753 0.150638 
0.117810  0.090757 9.375968 104.982807 0.456375 
0.117810  0.118682 12.299725 104.661431 0.456308 
0.039270  0.132645 13.762735 104.493827 0.150499 
0.039270  0.160570 16.671713 104.050068 0.150430 
0.117810  0.174533 18.115889 103.774259 0.456174 
0.117810  0.202458 21.003654 103.209150 0.456107 
0.039270  0.216421 22.448103 102.919601 0.150292 
0.039270  0.244346 25.310904 102.233773 0.150223 
0.117810  0.258309 26.727493 101.837990 0.455973 
0.117810  0.286234 29.556489 101.034980 0.455987 
0.039270  0.300197 30.970746 100.626621 0.150211 
0.039270  0.328122 33.764359 99.705708 0.150235 
0.117810  0.342085 35.142091 99.193751 0.456040 
0.117810  0.370010 37.894593 98.156703 0.456067 
0.039270  0.383972 39.269989 97.631308 0.150281 
0.039270  0.411898 41.977800 96.479377 0.150304 
0.117810  0.425860 43.308353 95.853706 0.456120 
0.117810  0.453786 45.965476 94.589488 0.456146 
0.039270  0.467748 47.292455 93.950665 0.150351 
0.039270  0.495674 49.895336 92.575747 0.150374 
0.117810  0.509636 51.169451 91.840677 0.456199 
0.117810  0.537561 53.712441 90.360897 0.456258 
0.039270  0.551524 54.981863 89.615804 0.150494 
0.039270  0.579449 57.461628 88.033026 0.150590 
0.117810  0.593412 58.670578 87.196267 0.456443 
0.117810  0.621337 61.081658 85.511197 0.456536 
0.039270  0.635300 62.284369 84.662432 0.150783 
0.039270  0.663225 64.623491 82.877295 0.150880 
0.117810  0.677188 65.758597 81.941974 0.456721 
0.117810  0.705113 68.020717 80.060658 0.456813 
0.039270  0.719076 69.148269 79.114149 0.151073 
0.039270  0.747001 71.330309 77.139131 0.151170 
0.117810  0.760964 72.383587 76.111791 0.456999 
0.117810  0.788889 74.481363 74.048074 0.457104 
0.039270  0.802851 75.527825 73.013309 0.151427 
0.039270  0.830777 77.541641 70.867731 0.151626 
0.117810  0.844739 78.507643 69.758340 0.457503 
0.117810  0.872665 80.429481 67.530737 0.457702 
0.039270  0.886627 81.385578 66.412230 0.152024 
0.039270  0.914553 83.212838 64.105621 0.152223 
0.117810  0.928515 84.082785 62.919060 0.458100 
0.117810  0.956440 85.811471 60.538501 0.458299 
0.039270  0.970403 86.670556 59.344007 0.152620 
0.039270  0.998328 88.298383 56.892631 0.152819 
0.117810  1.012291 89.066228 55.637132 0.458698 
0.117810  1.040216 90.589701 53.120230 0.458897 
0.039270  1.054179 91.347344 51.858950 0.153211 
0.039270  1.082104 92.771043 49.282886 0.153387 
0.117810  1.096067 93.434595 47.968797 0.459244 
0.117810  1.123992 94.748789 45.336160 0.459414 
0.039270  1.137955 95.399794 44.016981 0.153738 
0.039270  1.165880 96.602759 41.331344 0.153914 
0.117810  1.179843 97.154008 39.966388 0.459753 
0.117810  1.207768 98.243124 37.233541 0.459923 
