0.000000  0.000000 0.127557 118.037235 -0.003777 
0.104720  0.013200 1.687986 118.020300 0.206374 
0.314159  0.013200 1.691046 117.932069 0.621301 
0.418879  0.000000 0.136076 117.861800 0.821598 
0.628319  0.000000 0.139191 117.649705 1.188975 
0.733038  0.013200 1.691668 117.510229 1.351945 
0.942478  0.013200 1.689473 117.195058 1.635720 
1.047198  0.000000 0.143132 117.022709 1.753513 
1.256637  0.000000 0.142140 116.635117 1.926073 
1.361357  0.013200 1.678807 116.424255 1.978885 
1.570796  0.013200 1.672256 116.002356 2.023221 
1.675516  0.000000 0.138793 115.795778 2.014249 
1.884956  0.000000 0.135073 115.380649 1.925988 
1.989675  0.013200 1.653929 115.176597 1.847585 
2.199115  0.013200 1.644542 114.809105 1.635364 
2.303835  0.000000 0.125955 114.649659 1.503952 
2.513274  0.000000 0.120556 114.365738 1.188619 
2.617994  0.013200 1.626372 114.244485 1.008074 
2.827433  0.013200 1.618717 114.072008 0.620542 
2.932153  0.000000 0.109715 114.022493 0.417713 
3.141593  0.000000 0.104287 113.978152 -0.004203 
3.246312  0.013200 1.607519 113.983921 -0.218590 
3.455752  0.013200 1.604748 114.072135 -0.633491 
3.560472  0.000000 0.096356 114.153570 -0.829546 
3.769911  0.000000 0.093592 114.365684 -1.196937 
3.874631  0.013200 1.604830 114.494030 -1.364187 
4.084070  0.013200 1.607438 114.809270 -1.648042 
4.188790  0.000000 0.090468 114.992769 -1.761569 
4.398230  0.000000 0.091591 115.380376 -1.934139 
4.502949  0.013200 1.618512 115.580149 -1.991274 
4.712389  0.013200 1.625198 116.002077 -2.035628 
4.817109  0.000000 0.095003 116.219697 -2.022344 
5.026548  0.000000 0.098460 116.634750 -1.934114 
5.131268  0.013200 1.642971 116.827578 -1.860101 
5.340708  0.013200 1.652005 117.195018 -1.647902 
5.445427  0.000000 0.106880 117.365678 -1.512100 
5.654867  0.000000 0.111844 117.649613 -1.196756 
5.759587  0.013200 1.669317 117.759686 -1.020586 
5.969026  0.013200 1.676841 117.932187 -0.632942 
6.073746  0.000000 0.122264 117.992882 -0.425753 
0.000000  0.026400 3.244213 118.005064 -0.007676 
0.104720  0.039600 4.803499 117.946976 0.202442 
0.314159  0.039600 4.804160 117.858729 0.617304 
0.418879  0.026400 3.247959 117.829536 0.817569 
0.628319  0.026400 3.245435 117.617503 1.184863 
0.733038  0.039600 4.793569 117.437162 1.347783 
0.942478  0.039600 4.783047 117.122267 1.631457 
1.047198  0.026400 3.232809 116.990837 1.749201 
1.256637  0.026400 3.221605 116.603406 1.921748 
1.361357  0.039600 4.752062 116.352067 1.974555 
1.570796  0.039600 4.734395 115.930488 2.018880 
1.675516  0.026400 3.196137 115.764337 2.009867 
1.884956  0.026400 3.181471 115.349231 1.921524 
1.989675  0.039600 4.694301 115.105060 1.843079 
2.199115  0.039600 4.675263 114.737796 1.630779 
2.303835  0.026400 3.153150 114.618437 1.499329 
2.513274  0.026400 3.140338 114.334678 1.183918 
2.617994  0.039600 4.642352 114.173695 1.003335 
2.827433  0.039600 4.630243 114.001472 0.615856 
2.932153  0.026400 3.120627 113.991784 0.413053 
3.141593  0.026400 3.114129 113.947591 -0.008809 
3.246312  0.039600 4.616898 113.913675 -0.223152 
3.455752  0.039600 4.616517 114.001885 -0.637963 
3.560472  0.026400 3.110953 114.123065 -0.833973 
3.769911  0.026400 3.113828 114.335132 -1.201302 
3.874631  0.039600 4.627814 114.423541 -1.368536 
4.084070  0.039600 4.638761 114.738559 -1.652358 
4.188790  0.026400 3.127294 114.961993 -1.765869 
4.398230  0.026400 3.138636 115.349467 -1.938444 
4.502949  0.039600 4.670170 115.508902 -1.995582 
4.712389  0.039600 4.687978 115.930537 -2.039941 
4.817109  0.026400 3.164165 116.188505 -2.026641 
5.026548  0.026400 3.178541 116.603426 -1.938378 
5.131268  0.039600 4.727463 116.755491 -1.864349 
5.340708  0.039600 4.746141 117.122661 -1.652091 
5.445427  0.026400 3.206148 117.334074 -1.516247 
5.654867  0.026400 3.218537 117.617870 -1.200818 
5.759587  0.039600 4.778217 117.686857 -1.024605 
5.969026  0.039600 4.790202 117.859128 -0.636913 
6.073746  0.026400 3.237843 117.960836 -0.429700 
0.000000  0.052800 6.358699 117.890664 -0.011575 
0.104720  0.066000 7.915757 117.791468 0.198511 
0.314159  0.066000 7.914021 117.703267 0.613308 
0.418879  0.052800 6.357674 117.715165 0.813539 
0.628319  0.052800 6.349516 117.503343 1.180751 
0.733038  0.066000 7.892228 117.282265 1.343620 
0.942478  0.066000 7.873388 116.967865 1.627195 
1.047198  0.052800 6.320333 116.877444 1.744888 
1.256637  0.052800 6.298924 116.490443 1.917424 
1.361357  0.066000 7.822105 116.198805 1.970225 
1.570796  0.066000 7.793334 115.777840 2.014538 
1.675516  0.052800 6.251351 115.652229 2.005485 
1.884956  0.052800 6.225746 115.237435 1.917059 
1.989675  0.066000 7.731496 114.953319 1.838574 
2.199115  0.066000 7.702815 114.586537 1.626194 
2.303835  0.052800 6.178236 114.507346 1.494705 
2.513274  0.052800 6.158016 114.223947 1.179218 
2.617994  0.066000 7.655180 114.023349 0.998595 
2.827433  0.066000 7.638622 113.851500 0.611170 
2.932153  0.052800 6.129441 113.881643 0.408394 
3.141593  0.052800 6.121873 113.837630 -0.013415 
3.246312  0.066000 7.623133 113.764054 -0.227713 
