   0.0000D+00   0.0000D+00
   0.3491D+00   0.5236D-02
   0.1047D+01   0.5236D-02
   0.1396D+01   0.0000D+00
   0.2094D+01   0.0000D+00
   0.2443D+01   0.5236D-02
   0.3142D+01   0.5236D-02
   0.3491D+01   0.0000D+00
   0.4189D+01   0.0000D+00
   0.4538D+01   0.5236D-02
   0.5236D+01   0.5236D-02
   0.5585D+01   0.0000D+00
   0.0000D+00   0.1047D-01
   0.3491D+00   0.1571D-01
   0.1047D+01   0.1571D-01
   0.1396D+01   0.1047D-01
   0.2094D+01   0.1047D-01
   0.2443D+01   0.1571D-01
   0.3142D+01   0.1571D-01
   0.3491D+01   0.1047D-01
   0.4189D+01   0.1047D-01
   0.4538D+01   0.1571D-01
   0.5236D+01   0.1571D-01
   0.5585D+01   0.1047D-01
   0.0000D+00   0.2094D-01
   0.3491D+00   0.2618D-01
   0.1047D+01   0.2618D-01
   0.1396D+01   0.2094D-01
   0.2094D+01   0.2094D-01
   0.2443D+01   0.2618D-01
   0.3142D+01   0.2618D-01
   0.3491D+01   0.2094D-01
   0.4189D+01   0.2094D-01
   0.4538D+01   0.2618D-01
   0.5236D+01   0.2618D-01
   0.5585D+01   0.2094D-01
   0.0000D+00   0.3142D-01
   0.3491D+00   0.3665D-01
   0.1047D+01   0.3665D-01
   0.1396D+01   0.3142D-01
   0.2094D+01   0.3142D-01
   0.2443D+01   0.3665D-01
   0.3142D+01   0.3665D-01
   0.3491D+01   0.3142D-01
   0.4189D+01   0.3142D-01
   0.4538D+01   0.3665D-01
   0.5236D+01   0.3665D-01
   0.5585D+01   0.3142D-01
   0.0000D+00   0.4189D-01
   0.3491D+00   0.4712D-01
   0.1047D+01   0.4712D-01
   0.1396D+01   0.4189D-01
   0.2094D+01   0.4189D-01
   0.2443D+01   0.4712D-01
   0.3142D+01   0.4712D-01
   0.3491D+01   0.4189D-01
   0.4189D+01   0.4189D-01
   0.4538D+01   0.4712D-01
   0.5236D+01   0.4712D-01
   0.5585D+01   0.4189D-01
   0.0000D+00   0.5236D-01
   0.3491D+00   0.5760D-01
   0.1047D+01   0.5760D-01
   0.1396D+01   0.5236D-01
