  0.1000D-02   -.3272D-06
  0.2000D-02   -.6544D-06
  0.3000D-02   -.9817D-06
  0.4000D-02   -.1309D-05
  0.5000D-02   -.1636D-05
  0.6000D-02   -.1964D-05
  0.7000D-02   -.2291D-05
  0.8000D-02   -.2619D-05
  0.9000D-02   -.2946D-05
  0.1000D-01   -.3274D-05
  0.1100D-01   -.3602D-05
  0.1200D-01   -.3930D-05
  0.1300D-01   -.4258D-05
  0.1400D-01   -.4586D-05
  0.1500D-01   -.4915D-05
  0.1600D-01   -.5244D-05
  0.1700D-01   -.5572D-05
  0.1800D-01   -.5901D-05
  0.1900D-01   -.6231D-05
  0.2000D-01   -.6560D-05
  0.2100D-01   -.6890D-05
  0.2200D-01   -.7220D-05
  0.2300D-01   -.7550D-05
  0.2400D-01   -.7881D-05
  0.2500D-01   -.8211D-05
  0.2600D-01   -.8543D-05
  0.2700D-01   -.8874D-05
  0.2800D-01   -.9206D-05
  0.2900D-01   -.9538D-05
  0.3000D-01   -.9870D-05
  0.3100D-01   -.1020D-04
  0.3200D-01   -.1054D-04
  0.3300D-01   -.1087D-04
  0.3400D-01   -.1120D-04
  0.3500D-01   -.1154D-04
  0.3600D-01   -.1187D-04
  0.3700D-01   -.1221D-04
  0.3800D-01   -.1254D-04
  0.3900D-01   -.1288D-04
  0.4000D-01   -.1321D-04
  0.4100D-01   -.1355D-04
  0.4200D-01   -.1389D-04
  0.4300D-01   -.1422D-04
  0.4400D-01   -.1456D-04
  0.4500D-01   -.1490D-04
  0.4600D-01   -.1524D-04
  0.4700D-01   -.1558D-04
  0.4800D-01   -.1592D-04
  0.4900D-01   -.1626D-04
  0.5000D-01   -.1660D-04
  0.5100D-01   -.1694D-04
  0.5200D-01   -.1728D-04
  0.5300D-01   -.1762D-04
  0.5400D-01   -.1797D-04
  0.5500D-01   -.1831D-04
  0.5600D-01   -.1865D-04
  0.5700D-01   -.1900D-04
  0.5800D-01   -.1934D-04
  0.5900D-01   -.1969D-04
  0.6000D-01   -.2003D-04
  0.6100D-01   -.2038D-04
  0.6200D-01   -.2073D-04
  0.6300D-01   -.2107D-04
  0.6400D-01   -.2142D-04
  0.6500D-01   -.2177D-04
  0.6600D-01   -.2212D-04
  0.6700D-01   -.2247D-04
  0.6800D-01   -.2282D-04
  0.6900D-01   -.2317D-04
  0.7000D-01   -.2352D-04
  0.7100D-01   -.2387D-04
  0.7200D-01   -.2423D-04
  0.7300D-01   -.2458D-04
  0.7400D-01   -.2493D-04
  0.7500D-01   -.2529D-04
  0.7600D-01   -.2564D-04
  0.7700D-01   -.2600D-04
  0.7800D-01   -.2636D-04
  0.7900D-01   -.2671D-04
  0.8000D-01   -.2707D-04
  0.8100D-01   -.2743D-04
  0.8200D-01   -.2779D-04
  0.8300D-01   -.2815D-04
  0.8400D-01   -.2851D-04
  0.8500D-01   -.2887D-04
  0.8600D-01   -.2923D-04
  0.8700D-01   -.2960D-04
  0.8800D-01   -.2996D-04
  0.8900D-01   -.3032D-04
  0.9000D-01   -.3069D-04
  0.9100D-01   -.3106D-04
  0.9200D-01   -.3142D-04
  0.9300D-01   -.3179D-04
  0.9400D-01   -.3216D-04
  0.9500D-01   -.3253D-04
  0.9600D-01   -.3290D-04
  0.9700D-01   -.3327D-04
  0.9800D-01   -.3364D-04
  0.9900D-01   -.3401D-04
  0.1000D+00   -.3439D-04
