   0.1184D+03   0.2717D+00   -.4039D+00
   0.1183D+03   0.2741D+01   0.2947D+00
   0.1174D+03   0.2724D+01   0.1358D+01
   0.1167D+03   0.2740D+00   0.1595D+01
   0.1154D+03   0.2745D+00   0.1354D+01
   0.1148D+03   0.2671D+01   0.9056D+00
   0.1143D+03   0.2660D+01   -.4002D+00
   0.1145D+03   0.2729D+00   -.1098D+01
   0.1154D+03   0.2717D+00   -.2162D+01
   0.1160D+03   0.2693D+01   -.2398D+01
   0.1174D+03   0.2721D+01   -.2157D+01
   0.1179D+03   0.2710D+00   -.1708D+01
   0.1183D+03   0.5214D+01   -.3951D+00
   0.1181D+03   0.7675D+01   0.3036D+00
   0.1172D+03   0.7621D+01   0.1367D+01
   0.1166D+03   0.5147D+01   0.1603D+01
   0.1153D+03   0.5090D+01   0.1363D+01
   0.1146D+03   0.7462D+01   0.9144D+00
   0.1141D+03   0.7431D+01   -.3916D+00
   0.1144D+03   0.5052D+01   -.1090D+01
   0.1153D+03   0.5088D+01   -.2153D+01
   0.1158D+03   0.7533D+01   -.2390D+01
   0.1172D+03   0.7618D+01   -.2148D+01
   0.1178D+03   0.5194D+01   -.1700D+01
   0.1180D+03   0.1015D+02   -.3863D+00
   0.1177D+03   0.1259D+02   0.3124D+00
   0.1168D+03   0.1250D+02   0.1376D+01
   0.1163D+03   0.1001D+02   0.1612D+01
   0.1150D+03   0.9898D+01   0.1372D+01
   0.1142D+03   0.1224D+02   0.9231D+00
   0.1137D+03   0.1219D+02   -.3830D+00
   0.1141D+03   0.9822D+01   -.1081D+01
   0.1150D+03   0.9895D+01   -.2144D+01
   0.1154D+03   0.1236D+02   -.2381D+01
   0.1168D+03   0.1250D+02   -.2140D+01
   0.1175D+03   0.1011D+02   -.1691D+01
   0.1175D+03   0.1507D+02   -.3775D+00
   0.1170D+03   0.1749D+02   0.3212D+00
   0.1162D+03   0.1737D+02   0.1384D+01
   0.1158D+03   0.1486D+02   0.1621D+01
   0.1145D+03   0.1469D+02   0.1380D+01
   0.1136D+03   0.1700D+02   0.9318D+00
   0.1131D+03   0.1693D+02   -.3745D+00
   0.1136D+03   0.1458D+02   -.1073D+01
   0.1145D+03   0.1469D+02   -.2136D+01
   0.1148D+03   0.1717D+02   -.2373D+01
   0.1162D+03   0.1736D+02   -.2131D+01
   0.1170D+03   0.1501D+02   -.1682D+01
   0.1168D+03   0.1996D+02   -.3687D+00
   0.1162D+03   0.2236D+02   0.3300D+00
   0.1153D+03   0.2220D+02   0.1393D+01
   0.1151D+03   0.1968D+02   0.1630D+01
   0.1138D+03   0.1946D+02   0.1389D+01
   0.1128D+03   0.2172D+02   0.9406D+00
   0.1123D+03   0.2164D+02   -.3659D+00
   0.1129D+03   0.1931D+02   -.1064D+01
   0.1138D+03   0.1946D+02   -.2127D+01
   0.1140D+03   0.2194D+02   -.2364D+01
   0.1153D+03   0.2220D+02   -.2123D+01
   0.1163D+03   0.1988D+02   -.1674D+01
   0.1158D+03   0.2480D+02   -.3599D+00
   0.1152D+03   0.2720D+02   0.3389D+00
   0.1143D+03   0.2700D+02   0.1402D+01
   0.1142D+03   0.2446D+02   0.1639D+01
   0.1129D+03   0.2418D+02   0.1398D+01
   0.1118D+03   0.2641D+02   0.9493D+00
   0.1113D+03   0.2631D+02   -.3573D+00
   0.1120D+03   0.2400D+02   -.1056D+01
   0.1129D+03   0.2418D+02   -.2119D+01
   0.1130D+03   0.2668D+02   -.2355D+01
   0.1143D+03   0.2699D+02   -.2114D+01
   0.1154D+03   0.2471D+02   -.1665D+01
   0.1147D+03   0.2962D+02   -.3511D+00
   0.1140D+03   0.3198D+02   0.3490D+00
   0.1131D+03   0.3174D+02   0.1412D+01
   0.1131D+03   0.2921D+02   0.1648D+01
   0.1118D+03   0.2887D+02   0.1407D+01
   0.1106D+03   0.3106D+02   0.9594D+00
   0.1102D+03   0.3093D+02   -.3473D+00
   0.1109D+03   0.2865D+02   -.1047D+01
   0.1118D+03   0.2887D+02   -.2110D+01
   0.1118D+03   0.3138D+02   -.2345D+01
   0.1131D+03   0.3174D+02   -.2104D+01
   0.1143D+03   0.2950D+02   -.1656D+01
   0.1134D+03   0.3438D+02   -.3383D+00
   0.1125D+03   0.3671D+02   0.3632D+00
   0.1117D+03   0.3644D+02   0.1427D+01
   0.1118D+03   0.3390D+02   0.1661D+01
   0.1105D+03   0.3351D+02   0.1420D+01
   0.1092D+03   0.3565D+02   0.9738D+00
   0.1088D+03   0.3550D+02   -.3329D+00
   0.1096D+03   0.3326D+02   -.1034D+01
   0.1105D+03   0.3351D+02   -.2097D+01
   0.1104D+03   0.3602D+02   -.2331D+01
   0.1117D+03   0.3644D+02   -.2090D+01
